revs,Preprocessed_Text,Sentiment_Scores
"Zulfi was very helpful, he went through every information I needed to know for my new contract. He also helped with transferring all my data and pictures from my old phone, despite my all phone was broken and barely anything visible on the display.  I would definitely recommend this store in Bury. Very helpful. Well done.","['zulfi', 'was', 'very', 'helpful', ',', 'he', 'went', 'through', 'every', 'information', 'i', 'needed', 'to', 'know', 'for', 'my', 'new', 'contract', '.', 'he', 'also', 'helped', 'with', 'transferring', 'all', 'my', 'data', 'and', 'pictures', 'from', 'my', 'old', 'phone', ',', 'despite', 'my', 'all', 'phone', 'was', 'broken', 'and', 'barely', 'anything', 'visible', 'on', 'the', 'display', '.', 'i', 'would', 'definitely', 'recommend', 'this', 'store', 'in', 'bury', '.', 'very', 'helpful', '.', 'well', 'done', '.']","{'neg': 0.048, 'neu': 0.74, 'pos': 0.212, 'compound': 0.8646}"
"Great staff, so helpful and friendly!","['great', 'staff', ',', 'so', 'helpful', 'and', 'friendly', '!']","{'neg': 0.0, 'neu': 0.215, 'pos': 0.785, 'compound': 0.899}"
"Timothy is a good person and also good at what he does, and also a good listener and nice and helpful to customers that he attends to and he is the best thank you.","['timothy', 'is', 'a', 'good', 'person', 'and', 'also', 'good', 'at', 'what', 'he', 'does', ',', 'and', 'also', 'a', 'good', 'listener', 'and', 'nice', 'and', 'helpful', 'to', 'customers', 'that', 'he', 'attends', 'to', 'and', 'he', 'is', 'the', 'best', 'thank', 'you', '.']","{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.9638}"
Subrata was very helpful  in helping me with new contract,"['subrata', 'was', 'very', 'helpful', 'in', 'helping', 'me', 'with', 'new', 'contract']","{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.6764}"
Sanjay was so helpful. Great service.,"['sanjay', 'was', 'so', 'helpful', '.', 'great', 'service', '.']","{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.8399}"
"Timothy is a nice boy, very helpful, a good listener.He knows his job very well and he has passion for his job","['timothy', 'is', 'a', 'nice', 'boy', ',', 'very', 'helpful', ',', 'a', 'good', 'listener.he', 'knows', 'his', 'job', 'very', 'well', 'and', 'he', 'has', 'passion', 'for', 'his', 'job']","{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9255}"
A very friendly helpful team in the store. Was served by a gentleman called Henry who was knowledgeable and helpful. Was offered cup of coffee on entrance. Set up my new phone and transferred everything over from my old phone.,"['a', 'very', 'friendly', 'helpful', 'team', 'in', 'the', 'store', '.', 'was', 'served', 'by', 'a', 'gentleman', 'called', 'henry', 'who', 'was', 'knowledgeable', 'and', 'helpful', '.', 'was', 'offered', 'cup', 'of', 'coffee', 'on', 'entrance', '.', 'set', 'up', 'my', 'new', 'phone', 'and', 'transferred', 'everything', 'over', 'from', 'my', 'old', 'phone', '.']","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8641}"
Great service from Chris,"['great', 'service', 'from', 'chris']","{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}"
"Tom helped me upgrade my phone, he was very helpful and had good knowledge and answered all my questions. Thanks very much Tom!","['tom', 'helped', 'me', 'upgrade', 'my', 'phone', ',', 'he', 'was', 'very', 'helpful', 'and', 'had', 'good', 'knowledge', 'and', 'answered', 'all', 'my', 'questions', '.', 'thanks', 'very', 'much', 'tom', '!']","{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8475}"
"Zeshan was incredible! What a helpful knowledgeable guy, super professional and friendly. He’s hands down, the best tech guy we’ve ever encountered at Vodafone. 5 stars!","['zeshan', 'was', 'incredible', '!', 'what', 'a', 'helpful', 'knowledgeable', 'guy', ',', 'super', 'professional', 'and', 'friendly', '.', 'he', '’', 's', 'hands', 'down', ',', 'the', 'best', 'tech', 'guy', 'we', '’', 've', 'ever', 'encountered', 'at', 'vodafone', '.', '5', 'stars', '!']","{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.9401}"
Panika has been fantastic in helping decide on my new phone very helpful very friendly and knowledgeable she is an asset to Vodafone Exeter Branch,"['panika', 'has', 'been', 'fantastic', 'in', 'helping', 'decide', 'on', 'my', 'new', 'phone', 'very', 'helpful', 'very', 'friendly', 'and', 'knowledgeable', 'she', 'is', 'an', 'asset', 'to', 'vodafone', 'exeter', 'branch']","{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.9343}"
"Didn’t even email or send post to notify contract ending just increased the DD which I cancelled and now I can’t even get through to Customer Service without paying the outstanding £30 balance which is what I’m calling to discuss. I waived the fact that they increased from £17 to £23 mid-contract (for a service I’m literally not using at all but wanted to keep the number active and went for a media package so that it included my Spotify subscription making it worth it for me). Now I wanted to raise a complaint and have some compensation before clearing the balance, but can’t get through to them without clearing the balance first!!! Ridiculous.Edit: Your reply directs only to resolve things via Facebook or Twitter which I don’t use. Great to know you only care about your social media image rather than your actual relationship with customers. Been a customer for 11 years. 11 YEARS, even paid your ridiculous data overcharges throughout 2017 when I was living with no WiFi for some time and your bills were over £200/month when I was on a low income of barely £900/month (full time employment just on minimum wage). Just a horrid company, but your signal coverage saves you c**ts.","['didn', '’', 't', 'even', 'email', 'or', 'send', 'post', 'to', 'notify', 'contract', 'ending', 'just', 'increased', 'the', 'dd', 'which', 'i', 'cancelled', 'and', 'now', 'i', 'can', '’', 't', 'even', 'get', 'through', 'to', 'customer', 'service', 'without', 'paying', 'the', 'outstanding', '£30', 'balance', 'which', 'is', 'what', 'i', '’', 'm', 'calling', 'to', 'discuss', '.', 'i', 'waived', 'the', 'fact', 'that', 'they', 'increased', 'from', '£17', 'to', '£23', 'mid-contract', '(', 'for', 'a', 'service', 'i', '’', 'm', 'literally', 'not', 'using', 'at', 'all', 'but', 'wanted', 'to', 'keep', 'the', 'number', 'active', 'and', 'went', 'for', 'a', 'media', 'package', 'so', 'that', 'it', 'included', 'my', 'spotify', 'subscription', 'making', 'it', 'worth', 'it', 'for', 'me', ')', '.', 'now', 'i', 'wanted', 'to', 'raise', 'a', 'complaint', 'and', 'have', 'some', 'compensation', 'before', 'clearing', 'the', 'balance', ',', 'but', 'can', '’', 't', 'get', 'through', 'to', 'them', 'without', 'clearing', 'the', 'balance', 'first', '!', '!', '!', 'ridiculous.edit', ':', 'your', 'reply', 'directs', 'only', 'to', 'resolve', 'things', 'via', 'facebook', 'or', 'twitter', 'which', 'i', 'don', '’', 't', 'use', '.', 'great', 'to', 'know', 'you', 'only', 'care', 'about', 'your', 'social', 'media', 'image', 'rather', 'than', 'your', 'actual', 'relationship', 'with', 'customers', '.', 'been', 'a', 'customer', 'for', '11', 'years', '.', '11', 'years', ',', 'even', 'paid', 'your', 'ridiculous', 'data', 'overcharges', 'throughout', '2017', 'when', 'i', 'was', 'living', 'with', 'no', 'wifi', 'for', 'some', 'time', 'and', 'your', 'bills', 'were', 'over', '£200/month', 'when', 'i', 'was', 'on', 'a', 'low', 'income', 'of', 'barely', '£900/month', '(', 'full', 'time', 'employment', 'just', 'on', 'minimum', 'wage', ')', '.', 'just', 'a', 'horrid', 'company', ',', 'but', 'your', 'signal', 'coverage', 'saves', 'you', 'c', '*', '*', 'ts', '.']","{'neg': 0.09, 'neu': 0.799, 'pos': 0.111, 'compound': 0.7018}"
Great service and advice from joaoStevenage,"['great', 'service', 'and', 'advice', 'from', 'joaostevenage']","{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}"
"I was attended to by the manager there 'Agatha' a very helpful and patient lady, a credit to Vodafone, once again I was very impressed by her professionalism and patience","['i', 'was', 'attended', 'to', 'by', 'the', 'manager', 'there', ""'agatha"", ""'"", 'a', 'very', 'helpful', 'and', 'patient', 'lady', ',', 'a', 'credit', 'to', 'vodafone', ',', 'once', 'again', 'i', 'was', 'very', 'impressed', 'by', 'her', 'professionalism', 'and', 'patience']","{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.8437}"
I got totally locked out of my account and my phone wouldn't work due to it being damaged and Kerry in the Northwich branch really helped out to reconfigure my new phone and regain access to my Google account and banking apps etc due to me not being able to remember my pass codes......her assistance was invaluable as I could not use my Debit card to get cash or even pay for anything.......Vodaphone Northwich 100% recommended,"['i', 'got', 'totally', 'locked', 'out', 'of', 'my', 'account', 'and', 'my', 'phone', 'would', ""n't"", 'work', 'due', 'to', 'it', 'being', 'damaged', 'and', 'kerry', 'in', 'the', 'northwich', 'branch', 'really', 'helped', 'out', 'to', 'reconfigure', 'my', 'new', 'phone', 'and', 'regain', 'access', 'to', 'my', 'google', 'account', 'and', 'banking', 'apps', 'etc', 'due', 'to', 'me', 'not', 'being', 'able', 'to', 'remember', 'my', 'pass', 'codes', '......', 'her', 'assistance', 'was', 'invaluable', 'as', 'i', 'could', 'not', 'use', 'my', 'debit', 'card', 'to', 'get', 'cash', 'or', 'even', 'pay', 'for', 'anything', '.......', 'vodaphone', 'northwich', '100', '%', 'recommended']","{'neg': 0.052, 'neu': 0.926, 'pos': 0.022, 'compound': -0.3612}"
Went to another store not great came in and spoke to Liam and Tom who gave me what I wanted. Excellent service,"['went', 'to', 'another', 'store', 'not', 'great', 'came', 'in', 'and', 'spoke', 'to', 'liam', 'and', 'tom', 'who', 'gave', 'me', 'what', 'i', 'wanted', '.', 'excellent', 'service']","{'neg': 0.127, 'neu': 0.731, 'pos': 0.142, 'compound': 0.1043}"
"Matt, the store manager in the Preston, Fishergate store was absolutely brilliant. He explained what my choices were and I actually left the store with exactly what I wanted which isn't always that easy these days! Cheers Matt!","['matt', ',', 'the', 'store', 'manager', 'in', 'the', 'preston', ',', 'fishergate', 'store', 'was', 'absolutely', 'brilliant', '.', 'he', 'explained', 'what', 'my', 'choices', 'were', 'and', 'i', 'actually', 'left', 'the', 'store', 'with', 'exactly', 'what', 'i', 'wanted', 'which', 'is', ""n't"", 'always', 'that', 'easy', 'these', 'days', '!', 'cheers', 'matt', '!']","{'neg': 0.054, 'neu': 0.77, 'pos': 0.176, 'compound': 0.7485}"
"Very helpful, thanks Suki!","['very', 'helpful', ',', 'thanks', 'suki', '!']","{'neg': 0.0, 'neu': 0.234, 'pos': 0.766, 'compound': 0.7624}"
